美媒发现，中国看样子要先“飞”一步！|2020年08月19日 23:58|原标题：美媒发现，中国看样子要先“飞”一步！ 责任编辑：祝加贝 
北大教授：疫苗“走出去”水很深|2020年08月19日 11:25|原标题：北大教授：疫苗“走出去”水很深。。。。。。 来源：瞭望智库 当下，全球仍在饱受新冠病毒之苦。而战胜疫情的最关键手段，是及时研发有效的疫苗。据报道，中国批准了首个新冠疫苗专利，标志着中国自主研发疫苗的一大步。 长期以来，世界上真正有能力研发安全、有效的疫苗的国家屈指可数。而由于抗击疫情形势紧迫，首先成功研制疫苗少数国家，就不可避免地要面临为全球公共卫生提供疫苗的责任。 然而，疫苗的研制和销售成本高昂，一旦应用出现安全问题，也将面临严峻的跨国法律和经济责任。而药品产业严格的审批制度，尤其是疫苗生产国与使用国在审批、监管和纠纷解决等层面的缺乏对接，都使得疫苗的全球化成为一项浩繁的工程。同时，一些西方国家近年来一直渲染中国用疫苗来发展全球影响力，这些现实都意味着中国新冠疫苗的推广必须谨慎而行。 文 |查道炯 北京大学国际关系学院 本文转载自“澎湃新闻”。原文首发于2020年8月5日，标题为《中国自研新冠疫苗如何成为国际卫生公共品》，不代表瞭望智库观点。 疫苗是一种通常以注射或口服方式进入人体后，刺激人体免疫系统产生保护性抗体的物质。一般认为，接种疫苗是预防和控制传染病最为经济、有效的公共卫生干预措施。 通常情形下，一款疫苗从研发到获准上市平均周期是10年。在新冠疫情波及地区和人口广度百年不遇的背景下，已有200种左右疫苗在不同国家立项研发，多款疫苗获监管当局批进入临床试验。基于技术和经济能力的差异，新冠疫苗的研发高度集中在少数国家。 就像其他疫苗一样，新冠疫苗的抗原和正在流行的病毒匹配良好才能具有期望出现的预防效果。但是，控制新冠疫情的迫切性使得在少数国家成功研制的疫苗被跨国使用成为不可避免。当然，这也是有研制能力的企业和相关国家展示实力和担当的良机。可是，在长期主导全球疫苗供应的西方跨国医药企业以及管制它们的政府那里，为什么其研制成功后的新冠疫苗的跨国应用不是一个重点话题？中国自研的新冠疫苗如何才能成为国际公共品？ 第一个问题涉及的因素众多。但是，没有理由将一国不主动表明将其批准上市的新冠疫苗开放给无力自行开发的国家或社会使用作为判断其缺乏全球健康公共品意识的基础。就像普通新药一样，疫苗应用的过程包括六个环节：研发、注册审批、生产、储运、最后才是对人接种。国际间，药品产业是知识产权保护程度最为广泛和严格的领域，与其他产品不同，涵盖了从原料到生产和储运的所有环节。高昂的研制和销售成本如何收回？疫苗的使用因此而受经济水平的影响，具有排他性，而不符合公共品的基本定义。这是研发和生产能力不足的国家在新研疫苗（产量和售价两方面）面临可及性问题的来源之一。 与疫苗的适应性和反应性紧密相关的是其安全性。对相关生产者而言，由于受用人没有病症或者症状不明显，接种所可能造成的副作用，其溯源既是科学问题，更是法律和经济责任问题。 世界免疫史上，“卡特事件”是经典案例。1955年美国加州的卡特实验室（Cutter Laboratories）生产的脊髓灰质炎出现事故，在12万名接种该疫苗的儿童中，有4万名儿童染病，其中56人患上了麻痹型脊灰炎，最终113人终生瘫痪，5人死亡。伴随致病归因而发生的旷日持久的诉讼，让卡特公司付出的巨额的民事赔偿，这家1897年成立的制药企业在1974年被德国贝尔公司收购。直到1986年美国国会通过《国家儿童疫苗伤害法案》才得以为持久的医患纠纷提供解决路径。事件也导致其他疫苗公司纷纷减少甚至停止疫苗的生产。 不同国家的医疗和法律制度不同，连带责任的处置争议难免会成为影响药企乃至国家声誉的难题。因此，疫苗生产国与使用国在审批、监管和医疗纠纷解决等医疗政策层面缺乏对接，而立法和执法又属国家主权范围，这些都是疫苗相关企业判断安全风险所必须面对的现实。历史上，疫苗生产是常用药物生产企业的附带事业。随着时间的推移，疫苗成为极少数企业专攻的产品，国家审批严格程度不断提高。这也是全球优质疫苗高度集中在工业化程度高的少数国家的少数企业、国家以自产自用为原则处理新研疫苗的原因。疫苗的跨国贸易，在不同国家之间逐渐形成了基于疫苗安全性、经济性和法制性的路径依赖。 作为全球健康治理努力的一部分，世界卫生组织（WHO）在1987年设立疫苗预认证制度。其主要目的是保证联合国机构（儿童基金会，UNICEF，等）作为中介采购并向低收入国家供应的疫苗在安全性、有效性和质量方面符合WHO生物制品标准化专家委员会关于疫苗的指导意见以及联合国机构招标要求，符合国家免疫计划的要求，并适宜于现行免疫程序。次要目的是替代疫苗接受国除上市许可注册和上市后监督职能之外的其他监管职能，并作为直接购买疫苗国家的质量参考，通过寻求候选和额外的供应商来确保足够的疫苗供应基地。 这种预认证部分适应了公共卫生在国际关系中的复杂现实。毕竟，保障和促进居民健康首先是国家的责任，任何国家对他国的卫生治理所能做到的贡献都有限。此外，特别是在流行病领域，国与国之间合作的要义之一是相互保护。疫苗和通用药物的可及性，理应与其研制和贸易的经济可持续性之间得到一个平衡。UNICEF等机构发挥作用的途径之一便是通过向发达国家生产商集体采购，在发展中国家推广疫苗使用，并寻求国际援助以降低单价。 新冠疫苗将是既有国际疫苗市场中的新产品，将加入既有流通渠道。WHO发布的《2019年世界疫苗市场报告》将疫苗的世界流通分为五大渠道。一是UNICEF等国际机构联合从全球疫苗免疫联盟（The Global Alliance for Vaccines and Immunization，GAVI）等供应方采购，转而在获得价格减免待遇的低收入国家市场出售。二是UNICEF/GAVI等联合向中等收入国家销售。三是美洲卫生组织（Pan American Health Organization， PAHO）通过它所设立的滚动基金采购疫苗向成员国销售。四是一些中等收入国家的疫苗以自产自用为主，GAVI等参与为辅。五是高收入国家，其疫苗一般自产自用。中国、印度、印尼等中等收入人口大国处于第四类情形，与GAVI等供应机制之间有工作关系。 一方面，世界疫苗市场的供应长期偏紧，不少国家高度依赖特定的生产商或生产商联盟作为采购来源。另一方面，真正意义上的疫苗供应垄断情形很少见。据WHO的疫苗市场描述，68%的疫苗有超过四个制造商在提供，而37%的疫苗拥有三个或更多的获得预认证资格的供应商。 发展中国家的疫苗可获得性的改善，部分得益于成立于2000年的发展中国家疫苗生产企业联盟（Developing Country Vaccine Manufacturers Network ， DCVMN）。该联盟是一种技术和管理能力的认可，除了促进发展中国家疫苗获得国际认证之外，其成员有获得专利疫苗的授权生产和非专利疫苗仿制生产的机会。新冠疫情背景下，DCVMN发出呼吁，期望其产能有机会参与获批疫苗的生产，从而提高疫苗在无力自研国家的可获得程度。 不论疫苗如何流动，除了价格的可负担性因素外，采购方与供应商之间的预购协定、疫苗运输（特别是冷链）和接种实施能力的匹配也影响着疫苗供销的进度和稳定性。 值得注意的是，即使是在最贫困的国家，其疫苗供应也有发达国家生产商的参与。GAVI的服务范围涵盖了世界上50%以上的最贫穷国家。也就是说，全球疫苗的流通是有其市场运行机制惯性的。疫苗的国际贸易以大洲为单位而呈地区化特征。美洲、欧洲地区主要依靠本地区的疫苗生产商，东南亚地区几乎排他性地依赖印度的疫苗供应。 对于中国而言，将自研新冠疫苗定性为国际健康公共品在当下的全球健康和发展治理动态中具有正面意义。但在国际疫苗市场上，这仅仅是一个主动性立场。中国自研新冠疫苗的境外使用，必须处理好我国在医疗卫生产品的向外流动过程依然面临的多重复杂因素叠加效应。具体而言，要考虑到至少三个方面的因素。 一是中国新疫苗的安全性、有效性必须得到国际认可。像中国这样的中等收入国家研发的疫苗，要想获得世界疫苗市场的入场券，通过WHO的资格预审是必要但不是充分的前提条件。中国曾于2011年和2014年两次通过了WHO的疫苗国家监管体系评估， 至2019年7月已有4个疫苗产品通过世界卫生组织的疫苗预认证，进入国际采购清单，销往十几个国家和地区。目前中国还有20多个疫苗产品正在或有意向申报世界卫生组织疫苗产品预认证。按照工作计划，2021年中国将迎来WHO的新一轮疫苗国家监管体系评估，接受WHO以其最新全球基准评估工具的检验，以更高的要求建设中国的疫苗质量管理体系。 同时也要看到，一款新冠疫苗在硬技术层面的“安全”与患者和潜在患者“放心”之间不存在直线等同关系。在不少发达国家和一些发展中国家，拒绝疫苗甚至激进的反疫苗运动由来已久且具有蔓延之势。新疫苗和新入场的疫苗生产/提供来源方必须面对境外医疗社会学的考验。这往往需要一个过程。 作为应对，中方的实体，特别是疫苗研发机构，在疫苗研制过程中，应当将潜在用户（机构，而不是广泛意义上的国家或政府）的有效参与纳入为中方销售自研疫苗的必要环节。这种参与包括在技术和社会条件匹配的情形下，在境外实施对人临床试验。此外，疫苗的仓储、物流、接种的实地技术培训也是必要内容。 国际卫生体系的基本管理单元还是国家。通过国内外疫苗监管机构之间的对接，将实验阶段和未来中国批准入市的新冠疫苗逐个获得相关国家主管当局的批准认证，是必不可少的途径。这个步骤，不可因为WHO的预认证而省略。 二是低调务实地处理中国进入国际新冠疫苗市场的每一个步骤。中方必须认识到，近几年兴起的“世界药瓶子握在中国手里”一类的说法，不论其真实性如何，在国外已经具有较强的政治和政策市场。同时，在有能力生产新冠疫苗的国家之间，药物和医疗器械都是高科技，受排他性、竞争性的左右。 中国自研新冠疫苗的境外使用，应该由中国的疫苗研发、储运和实施实体牵头。基于中国的疫苗市场从业实体之众，完全有条件参考GAVI和DCVMN的规程，组建由中国疫苗实体构成的新冠疫苗境外使用联盟，通过集体行动提高竞争能力。 三是在推介策略上选择多边平台，忌用双边安排。既存全球疫苗市场的基本态势不容撼动。充分利用现行疫苗领域的多边平台，如GAVI，DCVM， CEPI （流行病防范创新联盟，Coalition for Epidemic Preparedness Innovations）等疫苗研发和生产机制，WHO， UNICEF等疫苗流通政策机制。中国的相关实体有数十年多层次参与这些机制的经验。 多边平台之所以是必选项，另外一个原因是这样做有利于做到供应方经验共享，风险共担。 四是在产品定价方面，中国自研的新冠疫苗应定义为“不为盈利”（not-for-profit） 而不是“无利润”（no profit） 或低于成本价（below cost）。不为盈利这一点就已经兑现了中国新冠疫苗作为全球公共产品的政策承诺。不同国家和社会的药物研发和生产成本以及允许的利润空间并不自动具有可比性。但在成本计算的方法方面，中国和外国应该在同一个平台上。 五是坚持以合同为境外销售蓝本。合同需要包含以下要点： 1。购买或销（预）售疫苗数量，这是保护中方企业利益的基本要点，也是国际惯例；其实，同一个国家有从不同国别供应来源实施采购的自由。 2。生产授权的法律安排，其中，知识产权的有效保护是要点之一，另一大要点是与WHO、GAVI、CEPI、 DCVM以及各国监管机构等进行紧密合作，处理好参加生产和销售的境外实体的最低技术门槛要求。 3。把（潜在）购买方入资中国的疫苗生产环节纳入安排选项，同时处理好援助依赖与债务陷阱之间的矛盾。 4。疫苗接种副作用免责事项和纠纷解决机制。 此外，在推进过程中，政治外交需求应仅起辅助作用，而非主导作用。应该由疫苗企业主导，这也有助于提升中国在国际疫苗领域的话语权。 总而言之，对中国而言，要想看到自研疫苗成为作为公共产品，就必须需要注意两个关键点： 一是与表达了采购动议的国家之间建设无缝隙对接的中国疫苗流通的路线图；中方的着力点不应是疫苗供应量，或者援助的金额。 二是要事前将如何处理好可能出现的副作用应对及其争端解决路径纳入合同。 此外，必须看到，跨国健康产业有自身的产品链、产业链、价值链，也受到国际政治经济关系的变化制约。 中国自研新冠疫苗的国际公共品之路应当是具体需求、议题和合同导向。而这些方面的工作，在每一个环节都需要扎实工作才能有进展。主动将自研新冠疫苗定性为全球卫生公共品是一个有意义且相对简单的步骤，使之成为现实则需要做出艰辛的努力。 责任编辑：朱学森 
新冠病毒核酸10合1混采检测规范印发 进一步提升效率|2020年08月19日 10:56|原标题：新冠病毒核酸10合1混采检测规范印发，进一步提升效率 国家卫健委网站8月19日消息，国家卫健委8月19日发布关于印发新冠病毒核酸10合1混采检测技术规范的通知： 各省、自治区、直辖市及新疆生产建设兵团应对新冠肺炎疫情联防联控机制（领导小组、指挥部）： 为指导各地做好新冠病毒混采检测工作，进一步提升新冠病毒核酸检测能力和效率，落实“四早”要求，有效满足疫情常态化防控需求，我们组织制定了《新冠病毒核酸10合1混采检测技术规范》。现印发给你们，供参考使用。 国务院应对新型冠状病毒肺炎疫情 联防联控机制医疗救治组 （代章） 2020年8月17日 （信息公开形式：主动公开） 新冠病毒核酸10合1混采检测技术规范 为落实国务院应对新冠病毒感染肺炎疫情联防联控机制《关于做好新冠肺炎疫情常态化防控工作的指导意见》（国发明电〔2020〕14号）以及《关于加快推进新冠病毒核酸检测的实施意见》（联防联控机制综发﹝2020﹞181号）有关要求，指导各地新冠病毒混采检测工作，进一步提升核酸检测能力和效率，针对新冠病毒核酸10合1混采检测（10-in-1 test）技术（指将采集自10人的10支拭子集合于1个采集管中进行核酸检测的方法），制定本规范。 一、样本采集耗材规格 （一）病毒采集管。 管帽和管体应当为聚丙烯材质，螺旋口可密封，松紧适度。管体透明，可视度好。试管外径（14.8±0.2）mm×（100.5±0.4）mm，管帽外径（15.8±0.15）mm，高度（12.5±0.5）mm。容量企业定标10 ml，内含6ml胍盐或其他有效病毒灭活剂的保存液。保存液应当带有易于观察、辨识的颜色（如粉红色），并保持一定的流动性，方便取样。 （二）采集拭子。 宜选用聚酯、尼龙等非棉质、非藻酸钙材质的拭子，且柄部为非木质材料。折断点位于距拭子头顶端3cm左右，易于折断。 二、采集地点要求 选择空旷、通风良好的场地作为大规模人群筛查集中采集地点。根据原有场地条件，划分为等候区、采集区、缓冲区和临时隔离区，有效分散待检人员密度。应当设置急救设备备用。 （一）等候区。 设置人行通道，同时设置一米线保证等候人员的防护安全。根据天气条件配备保温、降温，遮阳、遮雨等设施。老年人、儿童、孕妇和其他行动不便者优先采集。 （二）采集区。 根据气候条件，配备帐篷、冷/暖风扇、适量桌椅，保证医护人员在相对舒适环境下工作。配备采集用消毒用品、拭子、病毒采集管，并应当为受检人员准备纸巾、呕吐袋和口罩备用。标本如无法及时运送至实验室，需准备4℃冰箱或低温保存箱暂存。应当制定防止病原微生物扩散和感染的应急预案。 （三）缓冲区。 空间应当相对密闭，可供采集人员更换个人防护装备，放置与采样点规模相匹配的防护用品、采集用消毒用品、拭子和采集管，户外消杀设备。 （四）临时隔离区。 用于暂时隔离在采集过程中发现的疑似患者或高危人群。 三、采集流程 （一）标识及信息登记。 1。登记流程。工作人员在采集前分配10个受检者为一组，采集前收集并登记受检者相关信息（包括姓名、性别、身份证号、联系电话、采集地点、采集日期和时间），按照组别进行采集管编号。 2。登记要求。推荐使用身份证读卡器、二维码条码等信息化手段关联受检者信息，提高信息读取效率和准确性。如不具备信息化条件，应当提前登记《新冠病毒核酸10合1混采检测登记表》（见附件，以下简称混采登记表）。纸质登记表随标本送检前应当备份存档于采集点所在社区，便于及时追溯受检者。 （二）采集方法。 被采集人员头部微仰，嘴张大，发“啊”音，露出两侧咽扁桃体，采集人员将拭子越过被采集人员舌根，在两侧咽扁桃体稍微用力来回擦拭至少3次，然后在咽后壁上下擦拭至少3次。操作完毕后，将拭子头置入管中、拭子折断点置于管口处，稍用力折断使拭子头落入采集管的液体中，弃去折断后的拭子杆，旋紧管盖，将采集管置于稳定的置物架上。每例采集后采集人员均应进行手消毒。 （三）混合拭子。 依照上述采集方法依次采集其余9支拭子，将完成采集的拭子放入同一采集管中，动作轻柔，避免气溶胶产生。连续采集10支拭子以后，旋紧管盖，防止溢洒。如采集管内拭子不足10支，应做好特殊标记并记录。 四、标本送检 （一）核对信息。 核对采集管标签与混采登记表信息，确保准确完整，编号一致。 （二）标本放置要求。 将核对后的采集管放入透明塑料密封袋（一层容器）中并封严袋口，用75%乙醇喷洒密封袋外部。将密封袋放入二层容器（可选内配适量吸湿材料的包装盒或双层医用垃圾袋），密封后用75%乙醇喷洒消毒。将二层容器放入具有“生物危害”标识的专用标本转运箱（推荐使用符合《危险品航空安全运输技术细则》A类物品运输UN2814标准的转运箱），二层容器和转运箱之间应当放置降温凝胶冰袋。二层容器应当固定在转运箱中，保持标本直立。密封转运箱后，使用75%乙醇喷洒消毒，转运箱表面洁净无污染。 （三）标本转运要求。 标准转运箱应当由专门标本运送人员负责运送。标本应当在采集后2—4小时内送至实验室。混采登记表放入独立密封袋，随转运箱一同转运。不能立即送检的，应当配备专门的冰箱或冷藏箱保存，并做好标本接收、保存登记。标本采集后24小时内可置于4℃保存。 五、实验室接收 （一）标本签收。 运送和接收人员应当对标本进行双签收。接收人员检查混采登记表是否填写完整，被检者信息是否可追溯，转运箱、二层容器有无破损。 （二）标本打开。 应当在生物安全二级实验室核心区打开转运箱，取出二层容器。在生物安全柜中打开二层容器，用75%乙醇喷洒或擦拭消毒后，取出密封袋，用75%乙醇试剂喷洒或擦拭消毒，并检查是否密封完好。 （三）标本检查。 核对采集管标签与混采登记表信息是否一致。取出采集管，检查管壁是否有破损、管口渗漏等，确认无破损、渗漏后用75%乙醇喷洒或擦拭消毒。如有破损、渗漏，应当立即停止操作，用吸水纸覆盖后使用0.55%含氯消毒剂进行消毒处理，做好不合格登记后销毁。 （四）标本保存。 不能及时检测的标本放入专用冰箱保存。24小时内检测的标本可置于4℃保存。24小时内无法检测的标本应当置于-70℃或以下温度保存。如无-70℃保存条件，则于-20℃暂存。避免标本反复冻融。设立专库或专柜保存标本，双人双锁管理。 （五）转运容器移出。 使用后的二层容器内外壁经75%乙醇擦拭消毒后移出生物安全柜，实验结束后使用紫外灯照射消毒。 六、标本检测与质量控制 （一）标本检测。 实验室接收标本后，应当立即进行检测。检测前进行充分震荡洗脱，之后进行核酸提取及扩增实验。推荐选用包含针对新冠病毒开放读码框1ab（open reading frame 1ab，ORF1ab）和核壳蛋白（nucleocapsid protein，N）基因区域的试剂。若使用核酸提取仪，核酸提取试剂应与核酸提取仪配套使用。扩增试剂盒应当选用国家药品监督管理局批准带有注册文号的试剂盒。建议选择检测限低、灵敏度高的检测试剂盒。 （二）检测质控。 每批检测至少有1份弱阳性质控品（第三方质控品，通常为检出限的3倍左右）、2份阴性质控品（试剂盒自带阴性质控品）和1份空白对照品（生理盐水或焦碳酸二乙酯处理水）。空白对照品应当开盖放置在提取仪或操作台面上过夜，用于环境污染评估。质控品随机放在临床标本中，参与从提取到扩增的全过程。 （三）质控结果。 弱阳性质控品测定为阳性，阴性质控品全部测定为阴性，视为在控。反之，则为失控，不可出具检测报告，应立即分析原因，必要时重新检测标本。 七、检验结果处理 新冠病毒核酸定性检测报告应当包括检测结果（检出/阳性、未检出/阴性）、方法学、检出限等。 （一）结果判断。 依据所用扩增试剂说明书，判断检测结果为未检出/阴性或者检出/阳性。若结果处于灰区，建议作为混采阳性结果进行复核。 （二）阳性结果复核。 1。混采检测结果为阳性、灰区或单个靶标阳性，通知相关部门对该混采管的10个受试者暂时单独隔离，并重新采集单管拭子进行复核。 2。复核单管核酸检测如均为阴性，则按照阴性结果回报。暂时隔离人员即解除隔离；如检测结果阳性，按程序上报。 八、检测后样本处理 检测后的标本应当尽快就地销毁，做好高压灭菌质量监控和消毒、销毁记录。 九、技术人员基本要求 采样人员和检测人员要求应满足《医疗机构新型冠状病毒核酸检测工作手册（试行）》要求。 十、生物安全防护 （一）标本采集和运送人员。 对于采集低风险区域人群的采集者，采用二级生物安全防护。包括：一次性帽子、医用防护口罩（N95）、手套（必要时双层）、护目镜/面屏、隔离衣，鞋套（必要时）。标本运送人员采用一级生物安全防护，包括：医用外科口罩、乳胶手套、工作服，可戴医用防护帽。 （二）标本接收和检测人员。 标本接收人员应当为核酸检测实验室经生物安全防护培训的指定人员，采用二级以上生物安全防护。生物安全防护标准可根据所从事工作的危险性进行区分。进行试剂准备和核酸扩增的工作人员采用二级防护。处理标本的人员必须严格遵照三级防护标准，包括：医用防护口罩或N95、单或双层乳胶手套（条件许可，可以不同颜色）、面屏、护目镜、工作服外防护服、单或双层医用防护帽，手卫生。必要时双层口罩（外医用防护口罩，内N95）。 来源：国家卫健委网站 责任编辑：朱学森 
上海公卫中心7个月收治新冠肺炎患者820人|2020年08月19日 10:52|原标题：守护市民安全，上海公卫中心7个月收治新冠肺炎患者820人 8月19日上午，在上海市公共卫生临床中心，15例新冠肺炎患者出院。 上海公共卫生临床中心主任朱同玉表示，公卫收治新冠肺炎患者已经整整7个月，这期间收治了820名患者，整个救治过程是在市委市政府坚强领导下，全市各家兄弟医院的大力支持下，在全体医务人员奋不顾身、冲向抗疫一线并且团结一致的精神支撑下，公卫中心抗疫工作取得了比较大的成绩。 朱同玉补充道，到目前只有7名死亡病例，其他患者都能顺利出院，救治率可以说非常理想。 “上海从3月5日开始，本土病例就已经结束了，到现在我们仍然有86名在院患者。国际疫情不息，公卫战斗不停。公卫就是上海的安全防线，全院职工就是安全防线的战士，我们一定会尽我们最大的努力来守护城市的安全，守护市民的安全，让全上海能在一个安全的环境中生活工作学习，这是我们全体公卫人对上海市民的一个承诺，我们一定会做到。”朱同玉表示。 现场，朱同玉还点赞了上海的城市精神。“这次的抗疫也反映了上海城市的精神，在大灾大难面前共同奋斗，体现了医务人员响应了总书记的号召，护佑生命、爱护每个人的健康是我们医务人员的使命，也是我们每个人的初心所在，在未来我们全院职工一定会团结一致，来保卫上海的城市安全。有我们公卫在，就有上海的城市安全在，这是我们的天职，也是我们的使命。”朱同玉说。 责任编辑：武晓东 
刚刚！福建发布秋季开学通知|2020年08月19日 10:45|原标题：刚刚！福建发布秋季开学通知 来源：厦门日报 19日，2020年全省秋季开学疫情防控工作视频会议在榕召开。会议明确，根据教育部和省委、省政府工作部署，我省各级各类学校将从8月下旬起，按照“错区域、错层次、错时、错峰”的原则，陆续开学返校。 秋季开学是在常态化疫情防控下的全面开学。各校具体开学返校时间，由学校结合实际研究确定，报当地疫情防控领导小组和学校主管部门审核后实施。（福建日报） 责任编辑：朱学森 
山东这一市首发声！即日起，这些人不得离开本市！|2020年08月19日 10:16|原标题：山东这一市首发声！即日起，这些人不得离开本市！ 17日，记者从泰安市教育局 新型冠状病毒肺炎疫情 防控工作领导小组 获悉 具体通知如下 ↓↓ 为确保安全开学，领导小组要求各学校要做好返校师生员工重点人群摸排与核酸检测工作，坚决杜绝“带病入学”，对四类人员做到“应检尽检”。 这四类人员包括： 在疫情防控相关物资储备和条件保障方面，领导小组要求各学校要按照标准配备物资，开学前储备至少可使用1个月以上的消毒物品和应急处置所需个人防护物品，并保证持续供给。鼓励学校安装自动测温设备，使用“场地码”“健康码”等技术手段，实现师生活动轨迹全过程可追溯。 责任编辑：刘德宾 SN222 
四川18日无新增新型冠状病毒肺炎确诊病例|2020年08月19日 09:58|原标题：四川省无新增新型冠状病毒肺炎确诊病例 8月18日0-24时，四川无新增新型冠状病毒肺炎确诊病例，新增治愈出院病例1例，无新增疑似病例，无新增死亡病例。 截至8月19日0时，全省累计报告新型冠状病毒肺炎确诊病例626例（其中境外输入85例），累计治愈出院609例，死亡3例，目前在院隔离治疗14例，455人尚在接受医学观察。 8月18日0-24时，全省无新增无症状感染者，当日转为确诊病例0例，当日解除集中隔离医学观察0例，尚在集中隔离医学观察15例（均为境外输入）。 全省183个县（市、区）全部为低风险区。 责任编辑：武晓东 
广西南宁新增1名协查深圳无症状感染者的密接者|2020年08月19日 09:40|原标题：广西南宁新增1名协查深圳无症状感染者的密接者 据自治区卫健委消息，8月18日0至24时，广西无新增确诊病例、疑似病例、无症状感染者，现无在治确诊病例、疑似病例和无症状感染者。全区累计报告确诊病例255例，累计治愈出院253例，死亡2例。 本日新增1名协查外省无症状感染者的密切接触者，正在集中隔离医学观察。 另据南宁市卫健委消息，2020年8月18日0-24时，南宁市无新增确诊病例、疑似病例。新增协查深圳无症状感染者的密切接触者1名，现已送集中隔离医学观察。 来源 广西自治区卫健委  责任编辑：朱学森 
福建18日新增境外输入无症状感染者2例|2020年08月19日 09:34|原标题：福建昨日新增境外输入无症状感染者2例，来自墨西哥和菲律宾 据福建省卫健委消息，8月18日0—24时，福建省报告新增境外输入确诊病例0例。当日报告新增境外输入疑似病例0例。当日报告新增境外输入无症状感染者2例，其中：墨西哥输入1例（福州市报告），菲律宾输入1例（厦门市报告） 。 截至8月18日24时，福建省累计报告境外输入确诊病例74例，已治愈出院70例，目前住院4例，无死亡病例；现有报告境外输入疑似病例0例；现有报告境外输入无症状感染者尚在接受集中隔离医学观察20例。 8月18日0—24时，福建省报告新增本地确诊病例0例。当日报告新增本地疑似病例0例。当日报告新增省外输入无症状感染者0例。 截至8月18日24时，福建省累计报告本地确诊病例296例（已治愈出院295例、目前住院0例、死亡1例），其中：福州市72例、厦门市35例、漳州市20例、泉州市47例、三明市14例、莆田市56例、南平市20例、龙岩市6例、宁德市26例；现有报告本地疑似病例0例；现有报告无症状感染者尚在接受集中隔离医学观察0例。 目前密切接触者已解除医学观察15504人，尚有298人正在接受医学观察。 责任编辑：武晓东 
卫健委：确诊病例应在发现后2小时内进行网络直报|2020年08月19日 09:32|原标题：卫健委：对于确诊病例应在发现后2小时内进行网络直报 据国家卫健委网站消息，8月19日，国家卫健委发布关于印发新型冠状病毒肺炎诊疗方案（试行第八版）的通知。其中，临床特点上，增加“极少数儿童可有多系统炎症综合征（MIS-C）”，介绍了MIS-C的临床表现；增加“新型冠状病毒特异性IgM抗体、IgG抗体在发病1周内阳性率较低”和可能导致假阳性的情形，以及何种情况下可通过抗体检测进行诊断等内容。将新型冠状病毒特异性IgM抗体阳性作为疑似病例诊断依据之一。增加“重型/危重型高危人群”的判定标准。调整了成人和儿童“重型/危重型早期预警指标”。对于病例的发现与报告，增加了“对于确诊病例应在发现后2小时内进行网络直报”。 责任编辑：武晓东 
2020年“上海好医生”揭晓 查琼芳等20名医生入选|2020年08月19日 09:20|原标题：2020年“上海好医生”揭晓，查琼芳等20名医生入选 8月19日，2020年“上海好医生”揭晓。 今天是第3个“中国医师节”，主题是“弘扬抗疫精神，护佑人民健康”。由上海市卫生健康委员会、上海市文明办联合开展的“上海好医生”推选活动今日正式揭晓。 20位“上海好医生”长期坚守在医疗岗位，今年抗疫时刻，他们其中不少亲临一线，用精湛医技和仁心医德呵护患者生命。 有的好医生在武汉不遗余力抢救患者，在沪父亲却因突发心梗不幸去世，遗憾未能见上最后一面；有的在武汉重症病房坚守68天成就抗疫日记，向全世界道出抗疫的“中国声音”； 有的第一时间主动请缨，率先奔赴集中观察隔离点承接任务；有的防疫战役一打响，就想到病房患者，不断完善和优化管理流程和模式，减轻患者的心理压力，在疫情特殊时期积极探索有效处理措施。 他们作为业界翘楚，代表了行业国内先进、国际一流水平，更切实解决病家痛楚。 有的36年如一日，每年完成千余例心脏外科手术，奠定业界技术规范和制度；有的兢兢业业为老人健康保驾护航，践行全心全意为人民服务的天职； 有的打造国际一流的神经重症监护病房，成为华东地区乃至全国的神经重症患者的重要转诊中心，挽救大量垂危患者；有的开启区域介入诊疗零突破，带来一支“24小时不关机”团队，填补技术空白让患者不再因就诊奔波往返。 根据中央文明办、国家卫生健康委有关要求，市文明办、市卫生健康委于2019年底在全市启动“上海好医生、上海好护士”寻找推选活动。该活动是 “中国好医生、中国好护士”活动的延伸。上海是全国最早启动区域内推选活动的地区之一。 活动伊始，全市各医疗卫生单位广泛参与，积极踊跃推荐医疗卫生战线的先进典型候选人，经各办医主体、各区卫生健康委、相关部门等遴选推荐和专家评审，最终产生20位2020年“上海好医生”。 2020年“上海好医生” （按姓氏笔画排序） 王 忠 上海交通大学医学院附属第九人民医院 王春生 复旦大学附属中山医院 乔增勇 奉贤区中心医院 刘少稳 上海市第一人民医院 吴先正 同济大学附属同济医院 汪 清 复旦大学附属妇产科医院 沈坤炜 上海交通大学医学院附属瑞金医院 陆 敏 长宁区新泾镇社区卫生服务中心 陈建华 黄浦区香山中医医院 周许辉 海军军医大学第二附属医院 周彩存 上海市肺科医院 胡 兵 上海市第六人民医院 查琼芳 上海交通大学医学院附属仁济医院 夏敬文 复旦大学附属华山医院 顾 耘 上海中医药大学附属龙华医院 徐格致 复旦大学附属眼耳鼻喉科医院 高文娟 徐汇区龙华街道社区卫生服务中心 高 亮 上海市第十人民医院 蒋更如 上海交通大学医学院附属新华医院 韩 林 海军军医大学第一附属医院 （本文来自澎湃新闻，更多原创资讯请下载“澎湃新闻”APP） 责任编辑：武晓东 
