北京19日22名确诊患者涉及小区公布|2020年06月20日 23:41|原标题：北京昨日22名确诊患者涉及小区公布 新京报讯（记者 戴轩）6月19日0时至24时，北京新增新冠肺炎确诊病例22例，病例活动过的区为海淀、丰台、大兴，涉及到的小区或场所共16个。 6月19日0时至24时，北京市新增新冠肺炎确诊病例22例，其中男性11例，女性11例；年龄平均37岁，最小1岁，最大56岁；北京户籍6例，外省户籍16例；丰台区13例、大兴区8例、海淀区1例；临床分型轻型9例，普通型13例，确诊病例均与新发地市场有关联。具体情况如下： 病例1，男，50岁，黑龙江人，住丰台区花乡，工作单位为新发地市场，6月14日发病，19日确诊，临床分型为普通型。 病例2，女，33岁，河北人，住大兴区西红门镇，工作单位为新发地市场，6月17日发病，19日确诊，临床分型为轻型。 病例3，男，39岁，湖北人，住丰台区花乡，工作单位为新发地市场，6月15日发病，19日确诊，临床分型为普通型。 病例4，男，34岁，河北人，住丰台区花乡，工作单位为新发地市场，6月17日发病，19日确诊，临床分型为普通型。 病例5，女，54岁，黑龙江人，住大兴区黄村镇，工作单位为新发地市场某饭店，6月15日发病，19日确诊，临床分型为普通型。 病例6，女，43岁，北京人，住丰台区花乡，曾经到新发地市场采购，6月14日发病，19日确诊，临床分型为普通型。 病例7，男，52岁，河南人，住丰台区马家堡街道，曾经到新发地市场采购，6月15日发病，19日确诊，临床分型为普通型。 病例8，男，34岁，山东人，住丰台区马家堡街道，曾经到新发地市场采购，6月15日发病，19日确诊，临床分型为普通型。 病例9，男，31岁，河南人，住丰台区花乡，曾经到新发地市场采购，6月14日发病，19日确诊，临床分型为普通型。 病例10，女，34岁，北京人，住大兴区天宫院街道，曾经到新发地市场采购，6月14日发病，19日确诊，临床分型为轻型。 病例11，男，34岁，广西人，住丰台区花乡，曾经到新发地市场采购，6月19日发病，19日确诊，临床分型为轻型。 病例12，女，32岁，四川人，住大兴区黄村镇，工作单位为某食品厂，为6月17日确诊病例的密切接触者，17日发病，19日确诊，临床分型为普通型。 病例13，女，34岁，河南人，住大兴区西红门镇，工作单位为某食品厂，为6月17日确诊病例的密切接触者，18日发病，19日确诊，临床分型为轻型。 病例14，女，56岁，北京人，住海淀区永定路街道，为6月16日确诊病例的密切接触者，14日发病，19日确诊，临床分型为普通型。 病例15，男，22岁，河南人，住丰台区马家堡街道，为6月19日确诊病例的密切接触者，17日发病，19日确诊，临床分型为轻型。 病例16，女，53岁，河南人，住丰台区马家堡街道，为6月19日确诊病例的密切接触者，17日发病，19日确诊，临床分型为轻型。 病例17，男，1周岁，北京人，住丰台区花乡，为6月18日确诊病例的密切接触者，18日发病，19日确诊，临床分型为轻型。 病例18，男，44岁，河北人，住大兴区高米店街道，为6月18日确诊病例的密切接触者，13日发病，19日确诊，临床分型为普通型。 病例19，男，36岁，河北人，住大兴区清源街道，为6月13日确诊病例的密切接触者，18日发病，19日确诊，临床分型为普通型。 病例20，女，24岁，北京人，住大兴区黄村镇，为6月17日确诊病例的密切接触者，14日发病，19日确诊，临床分型为轻型。 病例21，女，47岁，河北人，住丰台区花乡，为6月19日确诊病例的密切接触者，14日发病，19日确诊，临床分型为普通型。 病例22，女，22岁，北京人，住丰台区卢沟桥街道，为6月12日确诊病例的密切接触者，19日发病，19日确诊，临床分型为轻型。 永定路街道永定路70号院 花乡（地区）黄土岗社区宜兰园二区 花乡（地区）潘家庙路9号院 花乡（地区）天骄俊园 花乡（地区）新发地经营者乐园 卢沟桥街道五里店南里小区 马家堡街道角门北路 马家堡街道角门路60号木箱厂宿舍 高米店街道郁花园一里 黄村（地区）镇海鑫北路17号院 黄村（地区）镇狼垡一村 黄村（地区）镇三间房村福旺街 清源街道枣园东里社区首邑上城 天宫院街道珺悦国际 西红门（地区）镇建新庄三条 西红门（地区）镇西红门一村镇光街 北京市疾控中心提醒，新冠病毒传染性强，传播途径复杂。疫情期间，尽量减少外出聚会就餐，避免多人集聚；在住所、工作场所等处，需保持室内经常通风，减少疫情传播风险。曾经去过新发地市场或到新发地市场采购的人员要服从社区防控管理要求，主动报告，不得外出，做好自身防护。建议市民朋友在社区组织下有序参加核酸筛查，如无新发地市场接触史和身体异常状况，可不必扎堆预约筛查；进行核酸检测时，戴好口罩，有序排队，保持距离。尤其是在电梯等公共密闭空间内要保持安全距离，规范佩戴口罩，回家后及时洗手，减少疫情传播风险。 新京报记者 戴轩 责任编辑：祝加贝 
昆明五华区市场监管局：砍切过三文鱼砧板消毒后销毁|2020年06月20日 09:12|原标题：昆明五华区市场监管局：砍切过三文鱼的砧板消毒后按规定销毁 受“进口三文鱼案板检测到新冠病毒”消息影响，多地继续从严管理海鲜销售和加工事宜。其中，云南昆明市五华区市场监督管理局提出，处理更换砍切过三文鱼的用具，严格按照规定销毁。 6月19日，昆明市五华区官网刊发消息称，6月14、15日，五华区市场监督管理局根据省市局文件要求，出动执法人员6人次对辖区百盛和家乐福两大超市销售进口海鲜及防疫防控情况进行检查。通过现场检查，两大超市均在6月14就已停止了进口三文鱼品种的销售活动。虽在现场未发现、且商家表示已停售进口三文鱼活动，但执法人员仍对两个超市提出三点防控措施，要求做好疫情防控工作： 一是检查完善进口海鲜产品的进销台账，特别是已销售进口三文鱼的进销售台账；二是对卖场冻库进行全面消杀；三是处理更换砍切过三文鱼的用具，特别是对砍切过三文鱼的砧板进行消毒后，严格按照规定处理（销毁）、更换新的砧板，并坚持每日消毒后再行启用。 另外，黑龙江双鸭山市市场监督管理局早前部署，对从国外进口的三文鱼、海鲜、肉类及其制品进行抽检，并对市场环境进行监测。 一律禁止大型农贸批发市场和海鲜批发市场现场解冻生鲜加工。一律禁止销售进货渠道不明和无检疫检验证明的海鲜、肉类产品及其制品。 吉林省延边州等地在要求将所有三文鱼产品全部下架之外，还要求超市、餐饮行业暂停采购活海鲜、冰鲜海鲜、冷冻海鲜等海鲜产品。6月14日，延边州安图县新冠肺炎疫情防控工作领导小组办公室发出紧急通知称，即刻起各市场、冷库、海鲜专营店、超市、餐饮等行业所有三文鱼产品全部下架。各市场、冷库、海鲜专营店、超市、餐饮等行业现有存量海鲜（除三文鱼外的活海鲜、冰鲜海鲜、冷冻海鲜）只允许销售至6月17日（星期三），自6月18日（星期四）起暂停销售。各市场、冷库、海鲜专营店、超市、餐饮等行业暂停采购海鲜产品（活海鲜、冰鲜海鲜、冷冻海鲜）。  责任编辑：郑亚鹏 
北京通报5起违反中央八项规定精神典型问题|2020年06月20日 09:10|原标题：北京通报5起违反中央八项规定精神典型问题 为进一步严明纪律，强化警示教育，净化端午期间节日风气，为疫情防控提供坚强作风保障，市纪委监委对近期查处的5起违反中央八项规定精神典型问题公开曝光。 责任编辑：郑亚鹏 
这些关于疫情的消息，假的！雄县公安部门已介入调查|2020年06月20日 09:03|原标题：辟谣！这些关于疫情的消息，假的！雄县公安部门已介入调查 近日 北京出现 新冠肺炎确诊病例和核酸检测阳性病例 随之而来 雄县出现了一些关于疫情的谣言 目前 雄县警方已掌握此信息 将追究相关人员的法律责任！ 据县疫情防控办证实 连日来雄县已检测人员结果均为阴性！ 雄州之声呼吁广大雄县人民 不造谣！不信谣！不传谣！ 防控不能松懈 重视但不恐慌 保持冷静与理智 就是对疫情防控的最大支持！ 责任编辑：张玉 
31省区市6月19日新增确诊病例27例 其中本土病例23例|2020年06月20日 08:48|原标题：截至6月19日24时新型冠状病毒肺炎疫情最新情况 6月19日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例27例，其中境外输入病例4例（广东3例，上海1例），本土病例23例（北京22例，河北1例）；无新增死亡病例；新增疑似病例4例，均为本土病例（均在北京）。 当日新增治愈出院病例12例，解除医学观察的密切接触者232人，重症病例与前一日持平。 境外输入现有确诊病例83例（无重症病例），无现有疑似病例。累计确诊病例1868例，累计治愈出院病例1785例，无死亡病例。 截至6月19日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例308例（其中重症病例13例），累计治愈出院病例78410例，累计死亡病例4634例，累计报告确诊病例83352例，现有疑似病例11例。累计追踪到密切接触者756223人，尚在医学观察的密切接触者6023人。 31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者7例（境外输入5例）；当日无转为确诊病例；当日解除医学观察9例（境外输入8例）；尚在医学观察无症状感染者108例（境外输入57例）。 累计收到港澳台地区通报确诊病例1618例。其中，香港特别行政区1127例（出院1074例，死亡4例），澳门特别行政区45例（出院45例），台湾地区446例（出院434例，死亡7例）。 责任编辑：张玉 
江苏6月19日无新增新冠肺炎确诊病例|2020年06月20日 08:45|原标题：江苏6月19日江苏无新增新冠肺炎确诊病例 来源：荔枝新闻 据江苏省卫健委6月19日权威发布，6月19日0-24时，无新增境外输入确诊病例。截至6月19日24时，累计报告境外输入确诊病例22例，均已出院。 当日无新增本地确诊病例。截至6月19日24时，累计报告本地确诊病例631例，均已出院。 当日无新增无症状感染者。尚在定点医院集中隔离和医学管理的无症状感染者1例。 目前，追踪到确诊病例和无症状感染者的密切接触者13878人，已解除医学观察13642人，尚有236人正在接受医学观察。 专家提醒： 每个人是自己健康的第一责任人。当前疫情防控形势仍然复杂，要紧绷疫情防控常态化这根弦，始终保持警惕、严密防范。 一、注意个人卫生，科学佩戴口罩、规范勤洗双手、时常开窗通风、保持社交距离。不随地吐痰、不乱倒垃圾，咳嗽、打喷嚏时用纸巾或肘袖遮掩口鼻。 二、坚持健康饮食，储存和加工食物时，砧板、菜刀、餐具等生熟分开、及时清洗。肉蛋海鲜等食物烧熟煮透。倡导公筷公勺，合理膳食，均衡营养。 三、合理安排出行，减少不必要的聚集。如非必须，尽量不前往疫情中高风险地区。 四、出入农贸市场、批发市场等人员聚集场所时，提高防范意识，加强个人防护，全程佩戴口罩。尽量避开人流高峰，缩短停留时间，减少接触生鱼生肉等食品原料，回家后及时清洁双手。 五、一旦出现发热、干咳、乏力等异常症状，及时到就近的发热门诊就诊，并主动告知14天活动轨迹及接触史。就医途中全程佩戴口罩，尽量避免乘坐公共交通工具。 六、主动申请和使用“苏康码”进行健康状况申报。疫情中高风险地区来苏人员应主动向社区或单位报告，并配合开展集中隔离医学观察和新冠病毒核酸检测。如14天内本人或共同居住的家庭成员曾前往疫情中高风险地区，或曾接触过相关地区来苏人员，也应向社区或单位报告。 责任编辑：张玉 
6月19日河北新增报告新型冠状病毒肺炎确诊病例1例|2020年06月20日 08:40|原标题：2020年6月19日河北省新型冠状病毒肺炎疫情情况 来源：河北省卫生健康委员会 2020年6月19日0—24时，河北省新增报告新型冠状病毒肺炎确诊病例1例（保定易县人，系北京关联确诊病例的密切接触者）。无新增死亡病例，无新增疑似病例。 6月19日0—24时，河北省新增报告无症状感染者0例。 截至6月19日24时，河北省现有确诊病例13例，累计治愈出院病例322例（含境外输入10例），累计死亡病例6例，累计报告本地确诊病例331例、境外输入病例10例，现有疑似病例0例。尚在隔离医学观察的密切接触者421人。尚在医学观察无症状感染者10例（含境外输入5例）。 河北省卫生健康委员会 2020年6月20日 责任编辑：张玉 
四川6月19日无新增确诊病例|2020年06月20日 08:33|原标题：四川昨日无新增确诊病例 据四川卫健委消息，6月19日0-24时，四川无新增新型冠状病毒肺炎确诊病例，新增治愈出院病例1例，无新增疑似病例，无新增死亡病例。 截至6月20日0时，全省累计报告新型冠状病毒肺炎确诊病例589例（其中境外输入48例），累计治愈出院570例，死亡3例，目前在院隔离治疗16例，392人尚在接受医学观察。 6月19日0-24时，全省无新增无症状感染者，当日转为确诊病例0例，当日解除集中隔离医学观察0例，尚在集中隔离医学观察7例（境外输入6例，湖北输入1例）。 全省183个县（市、区）全部为低风险区。 责任编辑：张玉 
北京19日新增报告22例新冠肺炎确诊病例|2020年06月20日 08:26|原标题：北京昨日新增报告22例新冠肺炎确诊病例 6月19日0时至24时，新增报告本地确诊病例22例、疑似病例4例、无症状感染者2例。截至6月19日24时，累计报告本地确诊病例625例，累计出院411例，在院205例，累计死亡9例。尚在观察的无症状感染者17例。 6月19日0时至24时，无新增报告境外输入新冠肺炎确诊病例、疑似病例和无症状感染者。截至6月19日24时，累计报告境外输入确诊病例174例，累计出院173例，在院1例。 全市有13个区无本地报告新增确诊病例，具体为平谷区自有疫情以来无报告病例、延庆区148天、怀柔区134天、顺义区132天、密云区129天、昌平区123天、通州区121天、朝阳区5天、石景山区5天、门头沟区4天、房山区4天、东城区3天、西城区1天。 责任编辑：张玉 
中国以间谍罪起诉加拿大公民是报复吗？驻法大使回应|2020年06月20日 08:22|原标题：卢沙野大使接受法兰西24电视台专访 来源：中华人民共和国驻法兰西共和国大使馆 2020年6月19日，驻法国大使卢沙野接受法兰西24电视台专访，就中国抗疫、中美关系、中加关系、中澳关系、涉港等问题介绍情况，阐述观点。采访实录如下： 卢大使：您好，贝海尔曼先生。 卢大使：根据我了解的信息，每天有二十几例新增确诊病例，流行病专家表示疫情已经得到控制，我相信这一判断。您知道，中国有应对疫情的丰富经验，卫生防控体系得到很大完善，我们有信心很好地控制疫情。尽管学校关闭了，但中高考仍将按计划在7月初举行。 卢大使：我认为这源于中欧应对疫情的方式不同。这表明中国中央和地方各级政府认真严肃对待疫情，我们从第一时间采取措施，从一开始遏制疫情扩散。 卢大使：这不是我的意思，我的意思是中国政府高度重视并极为严肃对待疫情。 卢大使：冷战不是中国所希望的。中国外长想说的是我们不愿意发生“新冷战”。中国一贯奉行独立自主的和平外交政策，始终致力于与美方建立协调、合作、稳定的中美关系。即便特朗普政府想要与中国脱钩，但这不是我们的政策，而且这也是不可能的。如果美国采取这一政策，只会搬起石头砸自己的脚。 卢大使：是存在这种危险。实际上是美国对中国发起舆论攻击，炒作针对中国的谣言和谎言。中国不得不进行自卫，捍卫国家的尊严、名誉和利益。我认为，中国始终愿同美国开展各领域正常交往合作，维护稳定的双边关系。 卢大使：我不知道他说的是否属实。我对此不作评论。 卢大使：谈到加拿大，我有很多要说的。 卢大使：是的。我对加拿大有着很深厚友好的感情，我深爱这个国家和它的人民。我在加拿大遇到的所有人都很友好、诚恳，我结交了很多朋友。我同加拿大外交部的同事保持着非常紧密、友好的经常性联系。即使在孟晚舟事件之后，我们双方在这个问题上有时会有尖锐的交锋，但我们知道是为了捍卫各自国家的利益，维护本国政府的立场，会谈之后我们仍是朋友。中国人民因为两位人物而对加拿大怀有深厚友好感情，一位是白求恩医生，另一位是老特鲁多总理，他们为促进中加两国人民间的友好关系做出了重要贡献。关于孟晚舟事件，我认为这是加拿大政府犯下的严重错误。我对两国关系因此受到冲击感到难过。 卢大使：中国起诉两名加拿大公民与此并不相关。中国是法治国家，尊重司法系统独立。我们一贯依法行事，并不是为了报复。 卢大使：在处理双边关系时，各国应当相互尊重。在指责别国时，应该拿出真凭实据，而不应该信口开河。中国是网络犯罪、网络窃密的受害者，而不是发起者。你也了解美国的棱镜计划及其他网络攻击计划。 卢大使：当然，中国从未对别国进行过网络窃密活动。 卢大使：这是对中国内政赤裸裸的干涉。香港国家安全立法属于中国中央政府事权，与其他国家无关。世界各国均重视本国国家安全。香港属于中国领土，中国国家安全自然也应该涵盖香港。 卢大使：相反，这恰恰是对“一国两制”原则的完善。因为国家安全属于中央事权，所以涉港国安立法并不影响香港特别行政区的高度自治。 卢大使：当然。香港国家安全立法并不影响香港市民的个人权利和自由。立法针对四种主要犯罪行为，即分裂国家、颠覆国家政权、恐怖活动、勾结外国或者境外势力危害国家安全等，这些并不涉及市民的个人自由。只要不触犯国家安全法，就不必担心受到该法惩处。很多欧洲人担心香港国家安全法的实施会影响外商投资，但在我看来正好相反。近期网易、京东两家中国互联网巨头上市港交所，筹得大量资金，说明国安法能促进香港投资环境的改善。 卢大使：谢谢。 法兰西24电视台是法国全天候播报国际新闻的电视台，使用法语、英语、阿语、西语4种语言向全球播出。 责任编辑：张玉 
张文宏称全球疫情至少要到年底和明年上半年|2020年06月20日 08:15|原标题：张文宏称全球疫情至少要到年底和明年上半年 6月20日，@张文宏医生 谈疫情形势：全球疫情还在不断攀升，10天之后会破1000万。近期全球多国纷纷加大对于新冠药物的研发投入，而加快疫苗产品研发速度也将成为解决这一全球性灾难的关键途径。无论疫苗到来与否，全球性疫情蔓延情况至少要到年底和明年上半年。 责任编辑：张玉 
天津新发病例 病毒从何而来？|2020年06月20日 08:00|原标题：天津新发病例 病毒从何而来 作者 | 中青报·中青网记者 胡春艳 一位22岁的新冠肺炎患者正在天津市海河医院接受治疗，作为当地目前唯一一位在院的新冠肺炎患者，他的出现打破了天津连续110天无新增本土新冠肺炎感染病例的纪录。6月19日，天津市疾控中心副主任张颖向中青报·中青网记者介绍：“我们还没有发现感染来源。” 天津市疾控中心6月17日报告了这一病例。患者系天津康莱德酒店西餐厅帮厨人员，属于轻型患者。据张颖介绍，天津市以最快速度将该患者的密切接触者、可疑暴露人群以及其工作生活的相关环境全部排查完毕，目前所有样本的核酸检测、血清抗体检测结果均为阴性，从流行病学调查结果看，“尚不能判定他与最近出现疫情的北京新发地有关联”。 值得注意的是，这位男士发病前14天一直待在天津，既无外出史，又无疑似病例和确诊病例接触史。在他发病之前，天津已经连续110天没有本土新增病例出现，此人到底是从何处感染，成为社会关注的问题。 张颖因在此前的新冠疫情中精准追踪病毒而被称为“天津福尔摩斯”。这名患者核酸检测结果为阳性的消息第一时间通报至天津市疾控中心后，张颖和同事们立即展开对病毒的“追捕”。与病毒过招的丰富经验告诉张颖，最有可能让人“中招”的，就是接触了确诊病例、疑似病例或者是无症状感染者。很显然，天津已经连续几个月没有新增病例了，病毒只可能是从外部传来的，要么来自入境感染者，要么来自境内的疫情中高风险地区。 目前，我国对入境人员采取严格隔离管控措施，因此，天津疾控人员高度关注这位患者与6月11日出现疫情的北京新发地农产品批发市场的接触史。京津两地距离近、人员往来密切，新发地也是人们最容易联想到的传染来源。然而，疾控人员排查了患者家属、同事、同楼栋居民，以及同时段用餐、就诊、同乘人员、酒店客人等可疑暴露人群1137人，再经流行病学调查，结果显示，这些人均无直接或间接与北京新发地的接触史。 根据流行病学调查，到目前为止，这些人的所有检测结果均为阴性。张颖说：“与患者接触最密切的母亲，以及同事，目前也没有出现任何症状或疑似症状，我们也还在进一步观察中。” 她对记者指出，北京新发地相关疫情提示我们，接触被污染的水产品和肉类等生鲜产品，以及接触被污染的环境，也可能被感染。而天津这位患者正是酒店西餐厅帮厨，从5月30日起就一直在员工餐厅清洗碗筷，偶尔会负责清洗冷冻海鲜食材。 疾控人员迅速锁定了患者可能接触的食材和环境。首先对康莱德酒店封存在冷库和厨房的所有肉类和水产品，通过涂抹取材做核酸检测；对酒店26个供货渠道，13类物品产地、运输、储藏全链条信息溯源；从天津市三大批发市场采集粗加工之前的肉类和水产品及其外包装的样本等。这些样本的核酸检测结果全部为阴性。 此外，来自酒店及患者住所门把手、水龙头、餐厨具、冰箱、垃圾桶、空调、下水道、衣物、灶台等18种环境样本的检测结果也均为阴性。 为了回应居民关切，天津市公布了该患者发病前3日行动轨迹：患者6月16日出现发热伴咽干症状，自测体温38°C。患者曾在母亲陪同下先后到天津医科大学总医院、南开区学府医院、三潭医院发热门诊就诊，当天曾两次乘坐地铁。 不少网民对此提出几点质疑：为何患者去了发热门诊却未被隔离，而是直到核酸呈现阳性才被收治？地铁等公共场所的测温设备为何没能将发热患者检出？ 张颖对此表示，该患者的症状是非典型性的，首先他没有流行病学史，发病前14天一直没离开过天津，也没有与其他病例的接触史，按照目前新冠肺炎诊疗方案的病例定义，他并不属于被监测人群。其次，他的临床症状是轻症，只有轻微发热和咽干，并没有胸部影像学改变，“因此医生在拿到核酸检测结果之前，只能把他初步判定为其他疾病。” “这种没有流行病学史的确诊患者在全国来说都非常罕见。”张颖说，这也提醒大家应升级对发热门诊的管理办法，“应把所有来发热门诊的病例按照可疑病例来管理，一定要等到核酸检测结果出来，才能让患者离开。” 通过与患者长时间沟通，张颖了解到，该患者在家自行服用过药物，这是导致地铁测温设备未能将其检出的主要原因。该患者也表示，乘坐地铁时全程佩戴了口罩。 “公共场所佩戴口罩既保护自己，也保护他人。”张颖同时提醒，天津地铁除了在入口处需要市民配合用手机扫健康码之外，每节车厢门外也设有扫码标识。她注意到，很多人往往忽略了进入车厢前扫码，“这位患者就没有在进入车厢前扫码，这就使得排查密切接触者的范围大大增加。” 为严防疫情扩散，天津市迅速开展流行病学调查、对患者工作场所和住所进行消毒等疫情处置工作，追踪其密切接触者等高危暴露人群。各区连夜开展目标人群排查，管理、核酸检测等工作。因为病毒溯源尚不清晰，天津扩大了排查的范围。一方面，对该名患者的所有密切接触者都进行了隔离管控，经流行病学调查，判定密切接触者353例，但检测核酸以及实施隔离措施的人数远远高于这个数字。目前已采集核酸检测样本925人，采集血清学样本368人，目前结果均为阴性。实施集中或居家隔离医学观察865人。“也就是说，这些重点人群已经得到有效控制，不会造成更大范围的感染。” 另一方面，天津对重点场所也升级了管控措施。该患者工作的酒店和居住的社区均进行了严格管理。与此同时，天津市的公共场所，特别是封闭场所也均加强监管措施。 张颖在受访时提醒，对于农贸市场和批发市场尤其要重视监管，“不单是农产品批发市场，其他类批发市场也往往都是人员密集，有的也在封闭空间里。” 为了让发热门诊真正成为新冠疫情防控的“哨点”，近日，天津市卫健委约谈了部分医疗机构的主要负责人。针对个别医院标识不清、患者到发热门诊后自行离开医院、部分时段出现患者就医和核酸检测等候时间较长人群聚集等问题，出台了6项加强整改措施。其中特别强调，要加强患者体温监测和信息登记，实现发热门诊全过程封闭管理。对发热且有呼吸道症状的患者实行严格封闭管理，必须在发热门诊接受严格核酸检测和临床排查，不得离院。落实首诊责任，确保疫情及时发现、快速处置、精准管控、有效救治。 张颖表示，从目前排查、流调和检测情况看，天津整体环境是安全的，居民无需恐慌，可正常工作和学习，但一定要做好自我防护。 对于该病例的感染来源排查工作仍在继续。6月19日，天津市疾控中心将该病例的病毒株送往中国疾控中心病毒病所进行基因检测。张颖说，目前正在等待基因测序结果，希望测序结果能够对疾控人员下一步的追查有所帮助。 责任编辑：张玉 
还原天津病例流调过程 白岩松连线"福尔摩斯颖"探案|2020年06月20日 07:47|原标题：还原天津新增病例流调过程，白岩松连线“福尔摩斯颖”再探案！ 6月17日，天津市新增了一例确诊病例，这名确诊病例是天津一家酒店的厨房员工，从事洗碗工作，期间偶尔负责清洗冷冻海鲜食材。他发病前14天无外出史，无疑似病例和确诊病例接触史。他究竟因何感染？昨晚，“新闻1+1”连线天津疾控中心副主任张颖，“天津疾控福尔摩斯颖”详细还原了流调过程。 天津市疾控中心副主任张颖分析，他的感染源，第一可能性是入境人员携带病毒感染了他。第二个可能是来自疫情中高风险地区，尤其关注是北京。但整个排查过程中，该病例与入境人员和北京其他中高风险地区人员没有任何接触和交集。 还有一种可能性，我们又把目标锁定到污染的肉类和水产品，因该病例为某酒店西餐厅帮厨，在工作中会接触海鲜等食材。随后，流调又转向污染的肉类和水产品。目前，酒店封存的所有肉类、水产品核酸检测均为阴性。通过酒店所进货渠道溯源，又对天津三个批发市场食材及食品包装进行核酸检测，目前结果也是阴性。 张颖分析，除了以上两个源头，该病例也可能是被污染的环境感染。然而，环境核酸检测目前也是阴性。因此，从目前的溯源来看，没有发现该病例的感染来源。但这一工作并没有停止。 张颖介绍，天津市疾控中心已经把病毒送往中国疾控中心病毒病所进行基因测序。以此检测天津这一病例感染的病毒和哪一个地区发现的病毒基因有一定联系，根据基因检测结果再次进行溯源。 张颖特别提到，虽然该病例的感染来源目前尚不明确，但大家不必恐慌和担心。就天津来说，该病例的密接者已经找到，都在集中管理范围之内，目前核酸检测均为阴性。 昨晚，“新闻1+1”连线了中国疾病预防控制中心流行病学首席专家吴尊友，就大家关心的热点问题进行了解读。 吴尊友：在新发地市场通过不同环境物体表面采样分析，在局部地区污染非常严重，尤其是牛羊肉大厅、水产类及其他产品。这些地方的污染更多的可能是空气当中带有病毒颗粒的灰尘落下来的时候，污染了这些物品。这些物品如果属于潮湿或者低温的情况，病毒存活的时间就比较长，尤其是在有冰水、血、油脂的湿冷环境中，病毒的存活时间相当长。这些地方，打扫卫生是通过水枪冲洗的方法，又在局部产生了气溶胶，使空气污染更为严重。空气当中的病毒落下来以后，停留在豆腐或其他的产品上，这个都是可以解释的。 吴尊友：这个要根据具体的情况，每个人对过去的一段时间进行一些观察和回顾，如果曾经去过中高风险的地方，做检测还是有必要的，如果自己非常确信没有去过这些地方，感染的风险很低，没有必要每个人都去做检测。因为现在检测量需求大的时候，医务人员承受的负荷也很重，所以还是科学防控，对自己的风险进行精准评估以后来做决定。 吴尊友：从两个方面来看：1、这样一个检测结果说明北京及时控制了疫情的扩散，它就没有在更大范围去传播扩散；2、按照以新发地为中心向外辐射，越靠近新发地中心的地方，感染比例越高，6月11号报告病例以后，12号、13号扩大筛查，一下就报了30多例，随后随着核酸检测不断扩大，阳性率越来越低，说明疫情没有在更大范围扩散开来，这个还是一个非常重要的好信息。 吴尊友：北京的疫情基本得到控制，并不意味着明后天的数字会一下变得非常少。昨天发现的这些病例，他们的发病时间和感染时间主要是在采取措施以前感染的，是消耗过去感染的存量。我说基本控制指的是主要的传播途径给切断，主要的传播方式给堵住了，新的感染控制在低水平了，新的感染减少了，但不意味着我们就取得了彻底的胜利，还是要继续巩固防治成果，继续落实现有的防治措施。接下来几天的确诊病例数还是取决于筛查的力度，现在大面积的筛查主要是把既往感染的人通过主动筛查发现出来，而不是等到他发病就医才能发现，这样就抢在了病毒在社会传播前能及时发现阻断。 吴尊友：主要是根据发病日期流行曲线图，这个图的病例数和每日通报确诊病例数统计图的病例数是完全一样的，只是采用两个时间，每日通报确诊病例数统计图是诊断报告时间，发病日期流行曲线图是病人首次出现临床症状的发病时间，这个图更加接近病人发生的时间，所以这个图告诉我们疫情的走势和方向。大家千万要注意，这个图的走势说明北京的疫情向好的方向发展，但大家千万不能掉以轻心，不能松弛，防治措施还是要继续加大巩固防治成果，直到最后把新发生的病例全部彻底的消灭，没有一个“零”的新发，没有一个“零”的新报告。 来源：新闻1+1 责任编辑：张玉 
6月20日北京疫情早报|2020年06月20日 07:24|原标题：一图速览│6月20日北京疫情早报 北京新发地市场购入的冰冻海鲜能吃吗？食品包装会不会传播病毒？饭店就餐安全如何保障？进口生鲜货物检测结果如何？一图看懂北京今日最新疫情防控消息。 责任编辑：柳龙龙 
6月20日重庆市报告新增无症状感染者1例|2020年06月20日 07:18|原标题：2020年6月20日重庆市新冠肺炎疫情情况 来源：重庆市卫健委 一、本地疫情 6月19日0—24时，重庆市本地无新增新冠肺炎确诊病例报告。 截至6月19日24时，重庆市本地无在院确诊病例，累计治愈出院病例570例，累计死亡病例6例，累计报告确诊病例576例。 二、境外输入疫情 6月19日0—24时，重庆市无新增境外输入新冠肺炎确诊病例报告。 截至6月19日24时，重庆市现有境外输入在院确诊病例3例，累计治愈出院病例3例，累计报告境外输入确诊病例6例。 三、无症状感染者 6月19日0—24时，重庆市报告新增无症状感染者1例（为苏丹输入）。 截至6月19日24时，尚有无症状感染者12例，分别为湖北省输入3例（其中渝中区报告1例、渝北区报告1例、荣昌区报告1例），境外输入8例（其中英国1例、苏丹3例、印度4例），本地原有1例（为长寿区1例），正在接受医学观察。 四、密切接触者 截至6月19日24时，累计追踪到密切接触者25354人，已解除医学观察25143人，尚有211人正在接受医学观察。 责任编辑：柳龙龙 
